Year,Month,Day,Time,Direction
2020,12,13,09:01:19,<Direction.EXIT: 2>
2020,12,13,09:01:21,<Direction.EXIT: 2>
2020,12,13,09:02:44,<Direction.EXIT: 2>
2020,12,13,10:01:41,<Direction.EXIT: 2>
2020,12,13,10:01:41,<Direction.EXIT: 2>
2020,12,13,10:23:29,<Direction.EXIT: 2>
2020,12,13,10:25:08,<Direction.EXIT: 2>
2020,12,13,10:46:02,<Direction.EXIT: 2>
2020,12,13,10:46:07,<Direction.EXIT: 2>
2020,12,13,10:47:04,<Direction.EXIT: 2>
2020,12,13,10:47:05,<Direction.EXIT: 2>
2020,12,13,10:58:59,<Direction.EXIT: 2>
2020,12,13,10:59:02,<Direction.EXIT: 2>
2020,12,13,11:05:01,<Direction.EXIT: 2>
2020,12,13,11:08:53,<Direction.EXIT: 2>
2020,12,13,11:09:50,<Direction.EXIT: 2>
